M	Successful	time
536 	 50 	 0.018114348058588803
541 	 50 	 0.018995192949660122
546 	 50 	 0.018157533020712435
551 	 50 	 0.021581363980658352
556 	 50 	 0.01908041990827769
561 	 50 	 0.019544401089660823
566 	 50 	 0.020317660993896425
571 	 50 	 0.0192358490312472
576 	 50 	 0.02632166596595198
581 	 50 	 0.02192922099493444
586 	 50 	 0.01959046407137066
591 	 50 	 0.01984226901549846
596 	 50 	 0.02146918699145317
601 	 50 	 0.02169264096301049
606 	 50 	 0.019269427051767707
611 	 50 	 0.020400961046107113
616 	 50 	 0.025631197029724717
621 	 50 	 0.025250377017073333
626 	 50 	 0.021530718076974154
631 	 50 	 0.02606148400809616
636 	 50 	 0.023742908029817045
641 	 50 	 0.024302814970724285
646 	 50 	 0.019775611930526793
651 	 50 	 0.023731386987492442
656 	 50 	 0.03569331089965999
661 	 50 	 0.030910660978406668
666 	 50 	 0.024098276044242084
671 	 50 	 0.035316127934493124
676 	 50 	 0.023365005967207253
681 	 50 	 0.030571843031793833
686 	 50 	 0.026436057989485562
691 	 50 	 0.047396664042025805
696 	 50 	 0.052532745990902185
701 	 50 	 0.025116292061284184
706 	 50 	 0.023656934965401888
711 	 50 	 0.04096146393567324
716 	 50 	 0.03277005790732801
721 	 50 	 0.033104730071499944
726 	 50 	 0.03278656292241067
731 	 50 	 0.029010370024479926
736 	 50 	 0.950871828943491
741 	 50 	 0.05990546790417284
746 	 50 	 0.10581033199559897
751 	 50 	 0.1480735340155661
756 	 50 	 0.09450163797009736
761 	 50 	 0.07796637201681733
766 	 50 	 0.09324371395632625
771 	 50 	 0.27011076896451414
776 	 50 	 0.036569086951203644
781 	 50 	 0.08592689607758075
786 	 50 	 0.3837008399423212
791 	 50 	 1.8439554859651253
796 	 50 	 0.21988068998325616
801 	 48 	 1.8428955000126734
806 	 48 	 0.29386595205869526
811 	 43 	 1.031542426906526
816 	 46 	 0.06929500703699887
821 	 44 	 5.801765007083304
826 	 38 	 0.30986846098676324
831 	 40 	 7.742028772016056
836 	 33 	 0.042134872055612504
841 	 32 	 4.298380482010543
846 	 28 	 0.9468177629169077
851 	 24 	 0.7034338279627264
856 	 23 	 0.06386234192177653
861 	 13 	 6.084617472952232
866 	 17 	 5.358547635027207
871 	 13 	 3.670086501049809
876 	 9 	 7.637815464055166
881 	 9 	 3.254183837096207
886 	 2 	 6.12428084097337
891 	 4 	 0.7025249999715015
896 	 1 	 8.25194682192523
901 	 1 	 9.363080523093231
906 	 3 	 1.5277617810061201
911 	 0 	 1.6157371409935877
916 	 3 	 3.4716172389453277
921 	 0 	 2.1694988609524444
926 	 1 	 1.613850406021811
931 	 0 	 1.3480288620339707
936 	 0 	 1.0794029090320691
941 	 0 	 2.5780407449929044
946 	 0 	 1.4982220618985593
951 	 0 	 1.2760659869527444
956 	 0 	 1.0475966790691018
961 	 0 	 0.9751647999510169
966 	 0 	 1.112273312988691
971 	 0 	 0.5476204679580405
976 	 0 	 0.6611092520179227
981 	 0 	 1.0269747580168769
986 	 0 	 0.7843740429962054
991 	 0 	 0.8105301320319995
996 	 0 	 0.7731655410025269
1001 	 0 	 0.9006334739970043
1006 	 0 	 0.9122913490282372
1011 	 0 	 1.1594847219530493
1016 	 0 	 2.4303007799899206
1021 	 0 	 1.7976136920042336
1026 	 0 	 1.053976582014002
1031 	 0 	 0.8868543539429083
1036 	 0 	 0.5160003650235012
1041 	 0 	 0.8375129249179736
1046 	 0 	 0.6429114870261401
1051 	 0 	 0.7092697790358216
1056 	 0 	 1.0608973019989207
1061 	 0 	 0.5580603090347722
1066 	 0 	 0.7994578450452536
1071 	 0 	 1.109493596944958
1076 	 0 	 0.5907310809707269
1081 	 0 	 0.9681764850392938
1086 	 0 	 0.48307600792031735
1091 	 0 	 0.4545530459145084
1096 	 0 	 0.5267775489483029
1101 	 0 	 1.0515287789748982
1106 	 0 	 0.4296027709497139
1111 	 0 	 0.3396892560413107
1116 	 0 	 0.2283693029312417
1121 	 0 	 0.5861405349569395
1126 	 0 	 0.4552466800669208
1131 	 0 	 0.39313249103724957
1136 	 0 	 0.40455072093755007
1141 	 0 	 0.5613305689767003
1146 	 0 	 0.5025018330197781
1151 	 0 	 0.38956793094985187
1156 	 0 	 0.29752695199567825
1161 	 0 	 0.22958546003792435
1166 	 0 	 0.5265879539074376
1171 	 0 	 0.5353514179587364
1176 	 0 	 0.4806101550348103
1181 	 0 	 0.44279987493064255
1186 	 0 	 0.8536995319882408
1191 	 0 	 0.24838379700668156
1196 	 0 	 0.35172067501116544
1201 	 0 	 0.38886990200262517
1206 	 0 	 0.3101350119104609
1211 	 0 	 0.3979752160375938
1216 	 0 	 0.40214878297410905
1221 	 0 	 0.26293284399434924
1226 	 0 	 0.24766900204122066
1231 	 0 	 0.3430238729342818
1236 	 0 	 0.3568593879463151
1241 	 0 	 0.29899645899422467
1246 	 0 	 0.27017918904311955
1251 	 0 	 0.2272594829555601
1256 	 0 	 0.4439964749617502
1261 	 0 	 0.2130201030522585
1266 	 0 	 0.3612712089670822
1271 	 0 	 0.25167769799008965
1276 	 0 	 0.20562248199712485
1281 	 0 	 0.27423990704119205
1286 	 0 	 0.251345957047306
1291 	 0 	 0.3567544089164585
1296 	 0 	 0.21171177295036614
1301 	 0 	 0.21656017797067761
1306 	 0 	 0.2656928290380165
1311 	 0 	 0.23308222892228514
1316 	 0 	 0.35688085795845836
1321 	 0 	 0.17997394606936723
1326 	 0 	 0.2351886898977682
1331 	 0 	 0.2707402460509911
1336 	 0 	 0.15369979792740196
1341 	 0 	 0.31258186302147806
1346 	 0 	 0.275799872004427
1351 	 0 	 0.2690831059589982
1356 	 0 	 0.12294124800246209
1361 	 0 	 0.17435245402157307
1366 	 0 	 0.17020596901420504
1371 	 0 	 0.11130261200014502
1376 	 0 	 0.16771385492756963
1381 	 0 	 0.25436623103450984
1386 	 0 	 0.31687747698742896
1391 	 0 	 0.16106198506895453
1396 	 0 	 0.2877192370360717
1401 	 0 	 0.24286135903093964
1406 	 0 	 0.15701377403456718
1411 	 0 	 0.21193688502535224
1416 	 0 	 0.11947700195014477
1421 	 0 	 0.11297032400034368
1426 	 0 	 0.1451130179921165
1431 	 0 	 0.21073052193969488
1436 	 0 	 0.2223169670905918
1441 	 0 	 0.19045843207277358
1446 	 0 	 0.22396758198738098
1451 	 0 	 0.1868133939569816
1456 	 0 	 0.13300341297872365
1461 	 0 	 0.2037615020526573
1466 	 0 	 0.2900211459491402
1471 	 0 	 0.1355002960190177
1476 	 0 	 0.1478454180760309
1481 	 0 	 0.13052426499780267
1486 	 0 	 0.14243822603020817
1491 	 0 	 0.11793590406887233
1496 	 0 	 0.1288695939583704
1501 	 0 	 0.14734650088939816
1506 	 0 	 0.22367095795925707
1511 	 0 	 0.14482863491866738
1516 	 0 	 0.11518974299542606
1521 	 0 	 0.09098759898915887
1526 	 0 	 0.187433841987513
1531 	 0 	 0.08770882803946733
1536 	 0 	 0.15727993997279555
1541 	 0 	 0.21114344301167876
1546 	 0 	 0.08088230795692652
1551 	 0 	 0.1584731909679249
1556 	 0 	 0.10245612706057727
1561 	 0 	 0.1329887059982866
1566 	 0 	 0.16163816303014755
1571 	 0 	 0.13175333803519607
1576 	 0 	 0.15328650490846485
1581 	 0 	 0.13799988711252809
1586 	 0 	 0.12319932400714606
1591 	 0 	 0.100717309047468
1596 	 0 	 0.08545966900419444
1601 	 0 	 0.12087209790479392
1606 	 0 	 0.11735774495173246
1611 	 0 	 0.16108042502310127
1616 	 0 	 0.09868703701067716
1621 	 0 	 0.0802816889481619
1626 	 0 	 0.13258363492786884
1631 	 0 	 0.1234274439048022
1636 	 0 	 0.1751640619477257
1641 	 0 	 0.12014030409045517
1646 	 0 	 0.09634367702528834
1651 	 0 	 0.11814748798497021
1656 	 0 	 0.11849753500428051
1661 	 0 	 0.1389660619897768
1666 	 0 	 0.1053810459561646
1671 	 0 	 0.12075106799602509
1676 	 0 	 0.09626989206299186
1681 	 0 	 0.11132443405222148
1686 	 0 	 0.13899689901154488
1691 	 0 	 0.13222913700155914
1696 	 0 	 0.1301426929421723
1701 	 0 	 0.11431789200287312
1706 	 0 	 0.12930773990228772
1711 	 0 	 0.11266712099313736
1716 	 0 	 0.08767543197609484
1721 	 0 	 0.10927137196995318
1726 	 0 	 0.08643714094068855
1731 	 0 	 0.10417857998982072
1736 	 0 	 0.12305235292296857
1741 	 0 	 0.08182914205826819
1746 	 0 	 0.11160445306450129
1751 	 0 	 0.13476806809194386
1756 	 0 	 0.10599438089411706
1761 	 0 	 0.08190808002837002
1766 	 0 	 0.0958977279951796
1771 	 0 	 0.08750483603216708
1776 	 0 	 0.1275946970563382
1781 	 0 	 0.10049031698144972
1786 	 0 	 0.081485242000781
1791 	 0 	 0.14302659092936665
1796 	 0 	 0.11629813397303224
1801 	 0 	 0.09401909599546343
1806 	 0 	 0.10217800398822874
1811 	 0 	 0.10047566099092364
1816 	 0 	 0.09988244308624417
1821 	 0 	 0.09479620796628296
1826 	 0 	 0.089082345017232
1831 	 0 	 0.12340343894902617
1836 	 0 	 0.10374395793769509
1841 	 0 	 0.09936692100018263
1846 	 0 	 0.10456290002912283
1851 	 0 	 0.088062011054717
1856 	 0 	 0.08235701394733042
1861 	 0 	 0.08696973288897425
1866 	 0 	 0.08273187896702439
1871 	 0 	 0.08729358902201056
1876 	 0 	 0.07738052401691675
1881 	 0 	 0.14310596708673984
1886 	 0 	 0.08060551702510566
1891 	 0 	 0.1023734490154311
1896 	 0 	 0.08882257901132107
1901 	 0 	 0.10154759103897959
1906 	 0 	 0.08570595900528133
1911 	 0 	 0.08028966910205781
1916 	 0 	 0.09116831899154931
1921 	 0 	 0.08044461498502642
1926 	 0 	 0.09943637100514024
1931 	 0 	 0.12410007603466511
1936 	 0 	 0.051643175072968006
1941 	 0 	 0.08190225705038756
1946 	 0 	 0.1347593810642138
1951 	 0 	 0.09073381102643907
1956 	 0 	 0.08888339507393539
1961 	 0 	 0.09462112409528345
1966 	 0 	 0.09272904205136001
1971 	 0 	 0.09666015498805791
1976 	 0 	 0.0710377290379256
1981 	 0 	 0.07910423306748271
1986 	 0 	 0.08812300395220518
1991 	 0 	 0.08722526696510613
1996 	 0 	 0.09825381403788924
